Gene	logFC	padj.value
ARHGAP22	-0.00208	0.832319
ARHGAP23	0.0178	0.861286
ARHGAP24	0.105	0.778721
ARHGAP25	-0.00597	1
ARHGAP26	0.132	0.550883
ARHGAP27	0.039	0.832319
ARHGAP28	0.000058	0.99414
ARHGAP29	-0.00994	0.922714
ARHGAP30	0.124	0.260677
ARHGAP31	0.164	0.554985
ARHGAP32	-0.0000225	1
ARHGAP33	-0.0026	0.794217
ARHGAP35	0.0108	0.527765
ARHGAP36	-0.000551	0.834823
ARHGAP39	0.0662	0.176657
ARHGAP4	0.0959	0.57669
ARHGAP42	-0.00108	0.867318
ARHGAP44	0.0022	1
ARHGAP5	-0.338	0.070499
ARHGAP5-AS1	0.00695	0.760831
ARHGAP6	0.0401	0.587052
ARHGAP9	0.0305	0.890903
ARHGDIA	0.108	0.599471
ARHGDIB	0.0218	0.832319
ARHGDIG	0.0139	0.914298
ARHGEF1	0.0913	0.761858
ARHGEF10	0.000165	1
ARHGEF10L	-0.0521	0.888013
ARHGEF11	0.163	0.51762
ARHGEF12	0.156	0.726146
ARHGEF15	0.000000393	1
ARHGEF16	0.0141	0.671913
ARHGEF17	0.0488	0.782648
ARHGEF18	-0.216	0.075689
ARHGEF19	0.00488	1
ARHGEF2	0.0714	0.447795
ARHGEF25	0.0277	0.724362
ARHGEF26	-0.00214	0.741607
ARHGEF26-AS1	0.00934	0.487346
ARHGEF28	-1.33E-14	1
ARHGEF3	-0.215	0.378246
ARHGEF37	0.0481	0.737586
ARHGEF38	0.000647	0.983784
ARHGEF39	0.00525	0.487346
ARHGEF4	0.00202	0.74825
ARHGEF40	0.167	0.758701
ARHGEF5	0.0388	0.532002
ARHGEF6	-0.0401	0.886274
ARHGEF7	-0.00995	0.829472
ARHGEF9	-0.00664	0.844924
ARID1A	0.111	0.504606
ARID1B	-0.0625	0.428609
ARID2	-0.011	1
ARID3A	0.19	0.320371
ARID4A	-0.233	0.243029
ARID4B	-0.192	0.284321
ARID5A	0.552	0.005428
ARID5B	-0.00392	0.832617
ARIH1	-0.039	0.832319
ARIH2	-0.00772	1
ARIH2OS	-0.0174	0.613906
ARL1	-0.185	0.27575
ARL10	-0.00888	0.870164
ARL11	0.014	1
ARL13B	-0.184	0.487346
ARL14	-0.0000781	0.974205
ARL15	-0.0197	0.859007
ARL16	0.0145	1
ARL2	0.00873	1
ARL2BP	-0.257	0.068941
ARL3	0.0863	0.450291
ARL4C	-0.169	0.596575
ARL4D	0.00777	0.978467
ARL5A	-0.517	0.073125
ARL5B	-0.0423	0.69298
ARL6	0.0136	0.803531
ARL6IP1	-0.205	0.167454
ARL6IP4	-0.0608	0.828039
ARL6IP5	-0.199	0.10861
ARL6IP6	-0.219	0.145808
ARL8A	0.189	0.144571
ARL8B	-0.185	0.120805
ARL9	-0.00364	0.915786
ARMC1	-0.273	0.214972
ARMC10	-0.114	0.574561
ARMC12	0.0387	0.635163
ARMC2	0.0568	0.725482
ARMC3	0.013	0.443861
ARMC4	-1.33E-14	1
ARMC5	0.0494	0.781339
ARMC6	0.135	0.254124
ARMC7	0.187	0.121294
ARMC8	-0.0391	0.54586
ARMC9	0.00802	0.459881
ARMCX1	-0.143	0.120203
ARMCX2	-0.169	0.292982
ARMCX3	0.0323	0.89113
ARMCX4	0.0000915	1
ARMCX5	-0.299	0.141346
ARMT1	-0.416	0.040444
ARNT	0.0652	0.294717
ARNT2	0.0244	0.380594
ARNTL	-0.114	0.709155
ARNTL2	-1.33E-14	1
ARPC1A	0.00476	1
ARPC1B	0.105	0.137465
ARPC2	0.00521	1
ARPC4	0.125	0.477904
ARPC5	-0.125	0.285803
ARPC5L	-0.0385	0.889249
ARPIN	0.000319	1
ARPP19	-0.166	0.086729
ARPP21	-1.33E-14	1
ARR3	-0.0151	0.976263
ARRB1	0.0339	0.961947
ARRB2	0.2	0.117932
ARRDC1	0.0232	0.960933
ARRDC1-AS1	0.0432	0.73881
ARRDC2	-0.0698	0.735187
ARRDC3	-0.299	0.106484
ARRDC3-AS1	-0.00739	0.482225
ARRDC4	-0.00748	1
ARSA	0.00952	1
ARSB	0.00548	0.937961
ARSD	0.122	0.129729
ARSE	-1.33E-14	1
ARSF	-0.000233	0.833222
ARSG	0.0931	0.784864
ARSI	0.00223	0.801292
ARSJ	-0.0000108	1
ARSK	-0.0193	0.675011
ART1	-0.00264	0.891691
ART3	-0.0003	0.971443
ART4	0.00681	0.661761
ART5	-0.0122	0.976081
ARTN	-0.0217	0.816695
ARV1	-0.381	0.08007
ARVCF	-0.0278	0.501195
ARX	0.00391	0.528703
AS3MT	-0.0176	0.626604
ASAH1	-0.098	0.471236
ASAP1	0.188	0.118235
ASAP1-IT1	0.413	0.171773
ASAP2	0.0798	0.880916
ASAP3	-0.00493	0.952238
ASB1	0.0118	1
ASB10	-1.33E-14	1
ASB11	0.000374	0.685542
ASB12	0.0316	0.825144
ASB13	-0.0364	0.969338
ASB14	0.018	0.491808
ASB15	0.00161	0.407536
ASB16	-0.0000672	0.986795
ASB16-AS1	-0.117	0.347249
ASB17	-0.000475	0.85421
ASB2	0.0102	0.729939
ASB3	-0.217	0.35978
ASB4	-1.33E-14	1
ASB5	-0.000103	0.948459
ASB6	-0.0229	0.866597
ASB7	0.000164	1
ASB8	0.112	0.169559
ASB9	0.0201	0.723506
ASCC1	-0.00245	1
ASCC2	-0.0513	0.942193
ASCC3	-0.113	0.129357
ASCL1	-1.33E-14	1
ASCL2	0.00539	0.917537
ASCL3	-1.33E-14	1
ASF1A	-0.486	0.058026
ASF1B	-0.173	0.463883
ASGR1	0.163	0.834044
ASGR2	0.414	0.350651
ASH1L	0.0277	0.818951
ASH1L-AS1	-0.018	0.77612
ASH2L	0.0257	0.908226
ASIC1	-0.000115	0.994437
ASIC2	0.00791	0.540745
ASIC3	0.0249	0.634714
ASIC4	0.027	0.72468
ASIC5	-1.33E-14	1
ASIP	0.000515	0.602468
ASL	0.0528	0.835721
ASNA1	0.000904	1
ASNS	0.106	0.750395
ASNSD1	-0.302	0.120465
ASPA	-0.00000893	1
ASPDH	0.102	0.320782
ASPG	-0.00384	0.818002
ASPH	0.082	0.890129
ASPHD1	0.0247	0.605392
ASPHD2	0.0521	0.931294
ASPM	-0.0182	0.786707
ASPN	-0.0000392	1
ASPRV1	0.214	0.525224
ASPSCR1	-0.07	0.813055
ASRGL1	-0.135	0.698405
ASS1	0.0539	0.711447
ASTE1	-0.157	0.249268
ASTN1	-0.000741	0.886565
ASTN2	-1.33E-14	1
ASUN	-0.277	0.155594
ASXL1	-0.0717	0.342018
ASXL2	0.108	0.027013
ASXL3	-1.33E-14	1
ASZ1	0.00386	0.142684
ATAD1	-0.52	0.059013
ATAD2	-0.0785	0.33613
ATAD2B	-0.197	0.145692
ATAD3A	0.0539	0.801416
ATAD3B	0.0427	0.880942
ATAD3C	0.0832	0.729732
ATAD5	0.013	0.577619
ATAT1	0.00256	0.910846
ATCAY	0.0283	0.625058
ATE1	0.0677	0.10431
ATF1	-0.387	0.073807
ATF2	-0.0776	0.58851
ATF3	-0.0145	0.928087
ATF5	0.0282	0.754779
ATF6	0.416	0.011901
ATF6B	0.00103	0.537196
ATF7	0.0163	0.631452
ATF7IP	0.175	0.401192
ATF7IP2	-0.144	0.649483
ATG10	-0.0104	0.386322
ATG101	0.0802	0.782694
ATG12	-0.127	0.337079
ATG13	0.15	0.133318
ATG14	-0.0911	0.777404
ATG16L1	-0.0573	0.454608
ATG16L2	-0.0743	0.784864
ATG2A	0.138	0.641814
ATG2B	-0.0193	0.690158
ATG3	-0.084	0.504489
ATG4A	-0.0976	0.69298
ATG4B	0.056	0.458739
ATG4D	0.162	0.358134
ATG5	-0.427	0.041476
ATG7	0.187	0.189475
ATG9A	0.227	0.291597
ATG9B	-0.0177	0.959848
ATHL1	-0.039	0.9671
ATIC	-0.109	0.806891
ATL1	0.012	0.827095
ATL2	-0.115	0.416152
ATL3	0.215	0.01003
ATM	-0.287	0.168083
ATMIN	-0.2	0.331425
ATN1	0.000206	0.814829
ATOH1	0.0032	0.813759
ATOH7	0.000031	1
ATOH8	0.033	0.879715
ATOX1	0.0538	0.842152
ATP10A	-0.0651	0.830572
ATP10B	0.000333	1
ATP10D	-0.2	0.654741
ATP11A	0.0574	0.392779
ATP11B	0.116	0.72739
ATP11C	-0.0253	0.530551
ATP12A	0.00984	0.81849
ATP13A1	-0.0556	0.912117
ATP13A2	0.0923	0.532986
ATP13A3	0.325	0.072059
ATP13A4	0.000205	1
ATP13A5	0.0073	0.90615
ATP1A1	0.104	0.726772
ATP1A1-AS1	-0.0012	1
ATP1A2	-0.000469	0.805972
ATP1A3	0.00529	0.839585
ATP1A4	-0.00119	0.786721
ATP1B1	-0.168	0.565579
ATP1B2	-0.00553	1
ATP1B3	0.105	0.799566
ATP1B4	-1.33E-14	1
ATP23	-0.328	0.282952
ATP2A1	-0.00173	0.705815
ATP2A1-AS1	0.00142	0.863007
ATP2A2	0.0525	0.739311
ATP2A3	0.106	0.631498
ATP2B1	-0.269	0.082323
ATP2B2	-1.33E-14	1
ATP2B3	-0.0000722	0.980122
ATP2B4	0.343	0.002339
ATP2C1	-0.025	0.825012
ATP2C2	0.161	0.560195
ATP4A	-0.0114	0.960967
ATP4B	0.00654	0.489492
ATP5A1	-0.166	0.465456
ATP5B	-0.047	0.832479
ATP5C1	-0.261	0.259983
ATP5D	-0.042	0.876981
ATP5E	-0.13	0.326758
ATP5F1	-0.207	0.131206
ATP5G1	-0.106	0.811451
ATP5G2	-0.219	0.351648
ATP5G3	-0.155	0.544514
ATP5I	-0.203	0.152448
ATP5J	-0.249	0.27035
ATP5J2	-0.0811	0.783126
ATP5L	-0.209	0.168083
ATP5O	-0.297	0.173558
ATP5S	-0.0759	0.69374
ATP5SL	0.00736	1
ATP6AP1	0.139	0.478887
ATP6AP1L	-0.000384	1
ATP6AP2	-0.119	0.438261
ATP6V0A1	-0.00825	1
ATP6V0A2	-0.0904	0.365932
ATP6V0A4	-1.33E-14	1
ATP6V0B	0.00283	1
ATP6V0C	-0.0112	1
ATP6V0D1	0.11	0.423952
ATP6V0D2	0.00186	0.858475
ATP6V0E1	-0.0131	0.956438
ATP6V0E2	-0.143	0.49326
ATP6V0E2-AS1	-0.0129	0.561484
ATP6V1A	0.0222	1
ATP6V1B1	0.002	1
ATP6V1B2	-0.00687	1
ATP6V1C1	0.263	0.190663
ATP6V1C2	-1.33E-14	1
ATP6V1D	-0.0453	0.852514
ATP6V1E1	-0.0553	0.57769
ATP6V1E2	-0.0246	0.965185
ATP6V1F	-0.0125	1
ATP6V1G1	-0.236	0.048962
ATP6V1G2	-0.00912	0.707716
ATP6V1G3	-0.017	0.488182
ATP6V1H	0.117	0.579327
ATP7A	-0.141	0.496925
ATP7B	0.00525	0.926263
ATP8A1	-0.186	0.104887
ATP8A2	-0.00172	0.422898
ATP8B1	-0.0000144	1
ATP8B2	-0.114	0.480657
ATP8B3	-1.33E-14	1
ATP8B4	-0.419	0.259196
ATP8B5P	-1.33E-14	1
ATP9A	0.85	0.013154
ATP9B	-0.00568	0.51762
ATPAF1	-0.105	0.464348
ATPAF2	0.0667	0.840689
ATPIF1	-0.258	0.059013
ATR	-0.254	0.353156
ATRAID	-0.141	0.538699
ATRIP	0.0295	0.784998
ATRN	-0.00494	1
ATRNL1	-1.33E-14	1
ATRX	0.00481	1
ATXN1	0.247	0.361109
ATXN10	-0.233	0.207418
ATXN1L	0.0783	0.70097
ATXN2	0.144	0.322266
ATXN2L	0.000125	1
ATXN3	-0.0226	0.869512
ATXN3L	-0.000878	0.723506
ATXN7	0.0288	0.93318
ATXN7L1	0.0428	0.785149
ATXN7L2	-0.00551	0.777225
ATXN7L3	0.219	0.112622
ATXN7L3B	-0.0364	0.3673
ATXN8OS	-0.000954	0.832617
AUH	-0.155	0.461761
AUNIP	0.00431	0.785123
AUP1	0.0228	0.951512
AURKA	0.00119	1
AURKAIP1	0.0846	0.274803
AURKB	0.00734	1
AURKC	0.0129	0.951735
AUTS2	0.0252	0.889249
AVEN	-0.1	0.729925
AVIL	-0.0679	0.849018
AVL9	0.137	0.383632
AVP	0.0162	0.85421
AVPI1	0.0809	0.639782
AVPR1A	-1.33E-14	1
AVPR1B	0.0426	0.772821
AVPR2	-0.00662	0.831886
AWAT1	0.00472	0.917845
AXDND1	-1.33E-14	1
AXIN1	0.102	0.434447
AXIN2	-0.000309	0.850715
AXL	0.00529	0.273464
AZGP1	0.00282	1
AZI2	-0.149	0.331305
AZIN1	-0.171	0.352483
AZIN2	-0.0336	0.831886
AZU1	-0.214	0.860567
B2M	-0.0499	0.04856
B3GALNT1	-0.0135	0.813977
B3GALNT2	-0.0794	0.291966
B3GALT1	-1.33E-14	1
B3GALT2	-0.0081	0.854846
B3GALT4	0.105	0.569088
B3GALT5	-1.33E-14	1
B3GALT5-AS1	-1.33E-14	1
B3GALT6	-0.131	0.480359
B3GAT1	0.0711	0.470109
B3GAT3	-0.0397	0.8999
B3GLCT	-0.00588	0.74584
B3GNT2	-0.246	0.452486
B3GNT3	0.00516	1
B3GNT4	0.0858	0.366991
B3GNT5	0.159	0.585775
B3GNT6	0.04	0.303066
B3GNT7	-0.00202	0.991218
B3GNT8	0.0779	0.834961
B3GNT9	0.0817	0.409031
B3GNTL1	0.172	0.581189
B4GALNT1	-0.00102	0.774256
B4GALNT2	0.0378	0.547476
B4GALNT3	0.00341	0.994362
B4GALNT4	-1.33E-14	1
B4GALT1	0.0174	0.863415
B4GALT2	0.00766	0.628301
B4GALT3	-0.057	0.885071
B4GALT4	-0.105	0.772821
B4GALT5	0.146	0.689222
B4GALT6	0.00201	0.478613
B4GALT7	-0.0431	0.437295
B4GAT1	-0.0583	0.577826
B9D1	-0.00132	1
B9D2	0.172	0.265303
BAALC	-1.33E-14	1
BAALC-AS2	0.00998	0.83467
BAAT	-0.00393	0.926535
BABAM1	-0.14	0.568529
BACE1	-0.000265	0.953812
BACE2	-0.132	0.692156
BACH1	-0.0467	0.748804
BACH2	-0.296	0.233045
BAD	0.0495	0.586658
BAG1	-0.117	0.59856
BAG2	-0.29	0.172508
BAG3	-0.124	0.640799
BAG4	0.00438	1
BAG5	-0.0319	0.801248
BAG6	-0.0223	1
BAHCC1	0.000416	0.76316
BAHD1	-0.0237	0.91482
BAIAP2	-1.33E-14	1
BAIAP2-AS1	0.0086	1
BAIAP2L1	-0.000018	1
BAIAP2L2	-0.00144	1
BAIAP3	-0.0129	1
BAMBI	0.0181	0.824201
BANF1	-0.0036	1
BANF2	-0.000279	0.91482
BANK1	-0.45	0.033871
BANP	-0.0427	0.832617
BAP1	0.0978	0.263221
BARD1	-0.0785	0.852514
BARHL1	-0.00362	0.830262
BARX1	0.0124	0.569304
BARX2	-0.0031	0.880916
BASP1	0.194	0.03947
BATF	0.373	0.002212
BATF2	0.0538	1
BATF3	0.0056	1
BAX	-0.00362	1
BAZ1A	0.0225	1
BAZ1B	0.0548	0.949218
BAZ2A	0.109	0.18544
BAZ2B	-0.257	0.259014
BBC3	0.00976	1
BBIP1	-0.185	0.194353
BBOF1	-0.0651	0.981372
BBOX1	0.0195	0.850918
BBS1	0.0585	0.183082
BBS10	-0.536	0.031089
BBS12	-0.0187	0.874851
BBS2	-0.266	0.165864
BBS4	-0.00397	1
BBS5	-0.001	0.827674
BBS7	-0.0702	0.128474
BBS9	-0.0209	0.398374
BBX	-0.00704	1
BCAM	-0.0102	1
BCAN	-0.000422	0.840306
BCAP29	-0.112	0.372097
BCAP31	0.105	0.338386
BCAR1	0.145	0.126168
BCAR3	-0.00257	1
BCAR4	0.00286	0.70137
BCAS1	-0.0123	0.923661
BCAS2	-0.223	0.039637
BCAS3	0.0967	0.517047
BCAS4	0.051	0.653342
BCAT1	0.216	0.679641
BCAT2	-0.0916	0.572702
BCCIP	-0.203	0.294451
BCDIN3D	-0.172	0.202018
BCDIN3D-AS1	0.0189	0.285049
BCHE	-1.33E-14	1
BCKDHA	0.0264	0.97603
BCKDHB	-0.0355	0.270245
BCKDK	0.254	0.064767
BCL10	0.0211	0.937067
BCL11A	-0.323	0.102481
BCL11B	-0.153	0.65588
BCL2	0.00202	1
BCL2A1	0.0833	0.884733
BCL2L1	-0.187	0.692767
BCL2L10	-0.0174	0.582494
BCL2L11	0.14	0.029596
BCL2L12	0.0515	0.788732
BCL2L13	-0.0381	0.885071
BCL2L14	-1.33E-14	1
BCL2L15	-0.00934	1
BCL2L2	0.000281	0.942193
BCL3	0.372	0.068941
BCL6	0.0617	0.834423
BCL6B	0.00173	0.954481
BCL7A	-0.00579	1
BCL7B	0.0376	0.794217
BCL7C	-0.0739	0.779723
BCL9	0.0834	0.334828
BCL9L	-0.0206	1
BCLAF1	-0.193	0.278546
BCO1	-0.000561	0.83467
BCO2	0.00722	0.605711
BCOR	-0.107	0.27035
BCORL1	0.0231	0.71955
BCORP1	0.00167	0.54984
BCR	0.149	0.413421
BCS1L	-0.149	0.338866
BDH1	0.0312	0.832319
BDH2	-0.0269	0.582494
BDKRB1	0.0166	0.740913
BDKRB2	-0.000658	0.8083
BDNF	-1.33E-14	1
BDNF-AS	0.000158	0.84249
BDP1	-0.0541	0.272177
BEAN1	0.00353	0.420107
BECN1	-0.0434	0.727311
BEGAIN	-0.0738	0.790528
BEND2	0.167	0.681182
BEND3	0.00318	1
BEND4	0.00152	1
BEND5	-0.0409	0.454767
BEND6	0.0126	0.630672
BEND7	-0.0319	0.612891
BEST1	0.16	0.433059
BEST2	0.00458	0.574995
BEST3	-1.33E-14	1
BEST4	-0.0113	0.854928
BET1	-0.537	0.052618
BET1L	-0.00698	1
BEX1	-0.0794	0.968843
BEX2	-0.496	0.129357
BEX3	0.0928	0.799359
BEX4	-0.306	0.182044
BEX5	-0.194	0.605963
BFAR	0.0399	0.909357
BFSP1	-0.0182	0.841639
BFSP2	0.00647	0.842686
BGLAP	0.289	0.058026
BGN	0.000139	1
BHLHB9	-0.0129	0.72931
BHLHE22	0.0113	0.303182
BHLHE23	-0.00584	0.70249
BHLHE40	0.254	0.10946
BHLHE41	-1.33E-14	1
BHMT	0.00000869	1
BHMT2	0.00093	0.553754
BICC1	0.000399	1
BICD1	0.00613	0.968691
BICD2	-0.0225	0.980122
BID	0.0267	0.926535
BIK	0.348	0.121903
BIN1	-0.145	0.585009
BIN2	0.0162	0.989019
BIN3	0.138	0.369022
BIN3-IT1	0.156	0.482042
BIRC2	-0.306	0.168083
BIRC3	-0.561	0.091543
BIRC5	-0.0342	0.806339
BIRC6	-0.105	0.621662
BIRC7	0.0408	0.700987
BIVM	-0.0872	0.268159
BLCAP	-0.177	0.059144
BLID	-0.00244	0.818951
BLK	-0.315	0.186931
BLM	0.0737	0.915086
BLMH	-0.145	0.554856
BLNK	-0.659	0.064111
BLOC1S1	0.12	0.475455
BLOC1S2	-0.308	0.079138
BLOC1S3	0.0659	0.711952
BLOC1S4	-0.249	0.055193
BLOC1S5	-0.0597	0.243044
BLOC1S6	-0.203	0.138488
BLVRA	-0.0102	1
BLVRB	-0.073	0.809929
BLZF1	-0.096	0.669691
BMF	0.0991	0.510285
BMP1	0.00173	1
BMP10	-0.00466	0.847638
BMP15	-0.00542	0.832319
BMP2	0.00391	0.472352
BMP2K	-0.0344	0.960687
BMP3	0.0124	0.637596
BMP4	-0.000012	1
BMP5	-1.33E-14	1
BMP6	0.151	0.714834
BMP7	-0.00412	0.774075
BMP8A	-1.33E-14	1
BMP8B	-0.00158	0.822409
BMPER	0.0011	1
BMPR1A	-0.0219	0.950492
BMPR1B	-1.33E-14	1
BMPR2	-0.0211	0.943374
BMS1	-0.12	0.615249
BMX	0.303	0.507305
BNC1	-1.33E-14	1
BNC2	-0.000865	0.832617
BNIP1	0.0000519	1
BNIP2	-0.0752	0.844093
BNIP3	-0.258	0.368469
BNIP3L	-0.201	0.316621
BNIPL	0.000596	0.870719
BOC	0.00301	0.861544
BOD1	-0.423	0.037761
BOD1L1	-0.0569	0.649642
BOD1L2	0.0126	0.426659
BOK	-0.00691	1
BOLA1	-0.0536	0.827674
BOLA3	-0.351	0.464364
BOLA3-AS1	-0.000383	0.832617
BOLL	-1.33E-14	1
BORA	-0.385	0.064111
BORCS5	0.0338	0.84779
BORCS6	-0.00327	1
BORCS7	-0.504	0.074647
BORCS8	0.115	0.423173
BPESC1	-0.0000855	0.956372
BPGM	-0.147	0.82024
BPHL	-0.0625	0.549444
BPI	0.254	0.73832
BPIFA1	0.0345	0.832319
BPIFA2	-0.00412	0.800737
BPIFA3	0.00347	1
BPIFA4P	0.0217	0.43071
BPIFB1	-0.0063	0.705335
BPIFB2	-0.0312	0.610428
BPIFB4	-0.0004	0.841854
BPIFB6	-1.33E-14	1
BPIFC	-0.0243	0.692701
BPNT1	0.0161	0.952773
BPTF	-0.0528	0.509741
BRAF	0.247	0.310533
BRAP	0.0812	0.618735
BRAT1	0.0589	0.778633
BRCA1	0.0642	0.655511
BRCA2	-0.054	0.625058
BRCC3	-0.311	0.040591
BRD1	-0.239	0.371438
BRD2	0.0251	0.977957
BRD3	0.0537	0.818951
BRD4	0.136	0.613593
BRD7	-0.272	0.18349
BRD7P3	-0.000298	0.852514
BRD8	0.0618	0.377006
BRD9	0.0549	0.787655
BRDT	0.0125	0.289394
BRE	0.202	0.07781
BRE-AS1	0.0034	0.503724
BRF1	0.00114	0.623887
BRF2	0.017	0.854212
BRI3	0.048	0.765377
BRICD5	0.0176	1
BRINP1	-0.0122	0.536777
BRINP2	0.000126	0.886274
BRINP3	-0.00077	0.832808
BRIP1	0.000303	0.920097
BRIX1	-0.29	0.071998
BRK1	-0.0883	0.570096
BRMS1	0.162	0.085714
BRMS1L	-0.00849	0.832617
BROX	-0.00648	1
BRPF1	0.057	0.739643
BRPF3	-0.0296	0.709209
BRS3	-1.33E-14	1
BRSK1	0.0118	1
BRSK2	-0.0062	0.832479
BRWD1	-0.165	0.035343
BRWD3	0.111	0.268159
BSCL2	0.0334	0.925886
BSDC1	0.0336	0.726772
BSG	-0.0328	1
BSN	-0.000212	0.874851
BSND	-0.0185	0.806254
BSPRY	-0.000123	0.998229
BST1	0.0248	0.984949
BST2	-0.0151	1
BTAF1	-0.364	0.073928
BTBD1	-0.257	0.119625
BTBD10	-0.103	0.740009
BTBD11	-0.089	0.692767
BTBD16	-1.33E-14	1
BTBD17	0.0035	0.997201
BTBD2	0.0285	0.835254
BTBD3	-0.114	0.499698
BTBD6	-0.0802	0.77046
BTBD7	0.0486	0.803332
BTBD8	-0.000186	1
BTBD9	0.00167	0.855561
BTC	-0.00214	0.806708
BTD	0.0115	0.942674
BTF3	-0.227	0.063577
BTF3L4	-0.145	0.709209
BTF3P11	-0.13	0.142684
BTG1	-0.107	0.084864
BTG2	0.174	0.186007
BTG3	-0.255	0.147179
BTG4	0.0034	0.960071
BTK	-0.0252	0.978766
BTLA	-0.461	0.069454
BTN1A1	-0.0000455	1
BTN2A1	-0.221	0.190663
BTN2A2	-0.142	0.135034
BTN3A1	-0.221	0.226379
BTN3A2	-0.157	0.666568
BTN3A3	-0.133	0.668328
BTNL2	0.0028	0.959848
BTNL3	-0.507	0.420678
BTNL8	0.546	0.459525
BTNL9	0.0115	0.814013
BTRC	0.0000413	1
BUB1	-0.0201	0.913053
BUB1B	0.0219	0.951366
BUB3	-0.327	0.083782
BUD13	0.0262	0.939083
BUD31	0.000611	1
BVES	0.00133	0.503026
BVES-AS1	-1.33E-14	1
BYSL	-0.00543	1
BZRAP1-AS1	-0.154	0.44013
BZW2	-0.239	0.194353
C10orf10	0.00294	0.760831
C10orf11	0.282	0.377493
C10orf113	-0.0902	0.880945
C10orf12	0.015	0.848187
C10orf2	-0.0668	0.635163
C10orf25	0.0413	0.789684
C10orf35	-0.0365	0.547661
C10orf53	0.0469	0.538699
C10orf54	0.159	0.421318
C10orf55	0.00268	0.920097
C10orf62	0.00592	1
C10orf67	-0.00193	0.853069
C10orf71	-0.0119	0.978241
C10orf71-AS1	0.0566	0.275514
C10orf76	-0.0163	0.932346
C10orf82	-0.00986	0.956438
C10orf88	-0.165	0.294451
C10orf90	0.00235	0.491524
C10orf95	0.00399	0.48932
C10orf99	-0.000626	0.932804
C11orf1	-0.239	0.326744
C11orf16	-0.0119	0.856822
C11orf21	-0.0316	0.863023
C11orf24	-0.0584	0.551502
C11orf31	-0.224	0.470772
C11orf40	-1.33E-14	1
C11orf42	0.000137	0.871201
C11orf44	0.00786	0.487346
C11orf45	0.0665	0.243029
C11orf49	0.0596	0.816472
C11orf52	-0.0024	0.833644
C11orf53	0.0292	0.299345
C11orf54	-0.199	0.167533
C11orf57	-0.236	0.225061
C11orf58	-0.237	0.204562
C11orf63	0.000112	0.917333
C11orf65	0.00533	0.838234
C11orf68	0.0865	0.635012
C11orf70	-1.33E-14	1
C11orf71	0.0258	0.949655
C11orf72	0.0215	0.877618
C11orf73	-0.0271	0.98734
C11orf74	-0.0308	0.280421
C11orf80	0.0289	0.724318
C11orf84	0.035	0.660963
C11orf85	0.0884	0.384662
C11orf86	-0.0271	0.788354
C11orf87	-1.33E-14	1
C11orf88	-1.33E-14	1
C11orf94	0.0478	0.316632
C11orf95	0.00244	0.97964
C11orf96	0.00855	0.907928
C11orf97	-0.000856	0.824201
C12orf10	-0.0883	0.741442
C12orf29	-0.587	0.03947
C12orf4	-0.168	0.431844
C12orf40	0.0152	0.32617
C12orf42	0.039	0.930761
C12orf43	-0.211	0.252625
C12orf45	-0.0882	0.781938
C12orf49	0.000412	1
C12orf50	-0.000279	0.84225
C12orf54	0.000589	1
C12orf56	0.0027	0.489738
C12orf57	-0.201	0.587486
C12orf60	0.00203	1
C12orf65	-0.271	0.149374
C12orf66	-0.0484	0.875714
C12orf73	-0.151	0.267346
C12orf74	0.0024	1
C12orf75	-0.0739	0.905373
C12orf76	0.0205	0.839003
C12orf77	-1.33E-14	1
C12orf80	-1.33E-14	1
C14orf1	-0.173	0.531803
C14orf105	0.0119	0.189184
C14orf119	0.025	0.876886
C14orf132	-0.00298	0.783721
C14orf142	-0.313	0.107825
C14orf159	-0.165	0.291597
C14orf166	-0.29	0.108523
C14orf169	-0.07	0.827095
C14orf178	0.00795	0.818951
C14orf180	0.0153	0.685545
C14orf2	-0.182	0.496925
C14orf28	-0.249	0.076999
C14orf37	0.0184	0.64164
C14orf39	0.0000125	1
C14orf79	0.0148	0.850715
C14orf80	-0.0198	0.875527
C14orf93	0.105	0.558346
C15orf32	-1.33E-14	1
C15orf39	0.262	0.141618
C15orf40	-0.461	0.049719
C15orf41	-0.0122	0.775181
C15orf43	-1.33E-14	1
C15orf48	-0.0212	0.979943
C15orf52	0.0556	0.576398
C15orf54	-0.0436	0.884404
C15orf56	0.0194	0.700987
C15orf57	-0.0925	0.556955
C15orf59	0.0663	0.635496
C15orf61	-0.261	0.304384
C15orf62	-0.000181	0.882427
C15orf65	-0.0399	0.322954
C16orf13	-0.00972	1
C16orf45	0.0236	0.681999
C16orf46	0.000426	1
C16orf52	-0.31	0.083861
C16orf54	0.0119	1
C16orf58	-0.142	0.459042
C16orf59	-1.33E-14	1
C16orf62	0.0629	0.831886
C16orf70	0.0843	0.554965
C16orf71	0.0424	0.804067
C16orf72	0.0729	0.789857
C16orf74	-0.0735	0.633541
C16orf78	0.0342	0.629539
C16orf82	-0.00014	1
C16orf86	0.0012	1
C16orf87	0.00704	0.988261
C16orf89	-0.00238	1
C16orf91	-0.0846	0.487346
C16orf92	-0.00859	0.975351
C16orf95	-0.0147	0.866597
C17orf100	-0.0891	0.276831
C17orf105	0.0249	0.857685
C17orf47	-1.33E-14	1
C17orf49	0.0359	0.930761
C17orf50	0.00577	0.390576
C17orf51	-0.00242	0.612381
C17orf53	-0.00738	0.976541
C17orf58	-0.117	0.477461
