Gene	deGoede2017.padj	deGoede2017.logFC
AQP4-AS1	0.945	-0.0273
AQP5	0.382	-0.0248
AQP6	0.882	-0.0147
AQP7	0.99	-0.0126
AQP7P1	0.99	-0.0115
AQP8	0.99	-0.00398
AQR	0.597	0.0254
ARAP1	0.448	-0.0149
ARAP2	0.41	-0.101
ARAP3	0.00875	0.047
ARC	0.543	0.0429
ARCN1	0.99	-0.0119
AREG	0.668	-0.00543
AREL1	0.99	0.0106
ARF1	0.685	-0.0239
ARF3	0.99	-0.0249
ARF4	0.435	0.0145
ARF5	0.565	0.0268
ARF6	0.833	-0.00533
ARFGAP1	0.99	-0.00314
ARFGAP2	0.652	0.0166
ARFGAP3	0.717	0.0436
ARFGEF1	0.254	-0.00608
ARFGEF2	0.99	-0.00163
ARFGEF3	0.639	-0.0124
ARFIP1	0.99	-0.00354
ARFIP2	0.985	-0.00526
ARFRP1	0.99	-0.00643
ARG1	0.99	-0.0681
ARG2	0.533	-0.00498
ARGFX	0.99	-0.0138
ARGLU1	0.99	0.000723
ARHGAP1	0.358	-0.00653
ARHGAP10	0.99	-0.00643
ARHGAP11A	0.99	-0.00859
ARHGAP11B	0.837	-0.0679
ARHGAP12	0.923	-0.00459
ARHGAP15	0.99	-0.0114
ARHGAP17	0.99	-0.0171
ARHGAP18	0.99	-0.0107
ARHGAP19-SLIT1	0.703	-0.00702
ARHGAP20	0.99	-0.0148
ARHGAP21	0.936	-0.0425
ARHGAP22	0.0657	-0.0395
ARHGAP23	0.0061	0.0667
ARHGAP24	0.768	-0.00805
ARHGAP25	0.783	-0.0889
ARHGAP26	0.882	-0.0504
ARHGAP27	0.99	-0.00601
ARHGAP28	0.99	0.0288
ARHGAP29	0.626	0.0189
ARHGAP30	0.99	-0.00606
ARHGAP31	0.99	-0.00934
ARHGAP32	0.764	-0.0539
ARHGAP33	0.99	-0.0105
ARHGAP35	0.99	-0.0248
ARHGAP39	0.479	-0.0152
ARHGAP40	0.9	0.0117
ARHGAP42	0.99	0.0125
ARHGAP44	0.178	-0.0101
ARHGAP45	0.00324	-0.143
ARHGAP5	0.713	-0.0057
ARHGAP5-AS1	0.99	-0.00748
ARHGAP9	0.882	-0.00686
ARHGDIA	0.594	-0.00545
ARHGDIB	0.99	-0.0135
ARHGEF1	0.406	-0.0609
ARHGEF10	0.46	-0.0316
ARHGEF10L	0.625	-0.0284
ARHGEF11	0.99	-0.0255
ARHGEF12	0.0087	0.0762
ARHGEF15	0.0211	0.0694
ARHGEF16	0.144	0.0727
ARHGEF17	0.00565	0.106
ARHGEF18	0.99	-0.0134
ARHGEF19	0.168	0.0316
ARHGEF2	9.84E-05	-0.0894
ARHGEF25	0.673	-0.0258
ARHGEF26	0.99	0.00524
ARHGEF26-AS1	0.854	0.0527
ARHGEF28	0.301	0.0237
ARHGEF3	0.0623	0.0372
ARHGEF33	0.99	-0.011
ARHGEF34P	0.99	-0.0306
ARHGEF35	0.99	-0.00996
ARHGEF37	0.066	-0.0362
ARHGEF38	0.99	-0.0195
ARHGEF39	0.99	-0.0137
ARHGEF4	0.0397	-0.028
ARHGEF40	0.741	0.00857
ARHGEF5	0.99	-0.045
ARHGEF7	0.485	0.0123
ARID1A	0.722	0.0122
ARID1B	0.717	-0.0523
ARID2	0.99	0.00709
ARID3A	0.0558	-0.168
ARID3B	0.847	0.0124
ARID3C	0.948	-0.0174
ARID4A	0.99	-0.000494
ARID4B	0.855	0.0765
ARID5A	0.0628	-0.0361
ARID5B	0.0363	-0.174
ARIH1	0.99	0.00141
ARIH2	0.99	-0.00401
ARIH2OS	0.99	-0.00174
ARL1	0.99	0.00245
ARL10	0.77	-0.0126
ARL11	0.99	-0.00371
ARL13B	0.685	-0.0133
ARL14	0.99	-0.0105
ARL14EP	0.99	-0.00915
ARL14EPL	0.99	0.0207
ARL15	0.425	-0.0169
ARL16	0.656	-0.00651
ARL17A	0.564	-0.0164
ARL2-SNX15	0.463	-0.00824
ARL2BP	0.604	-0.00923
ARL3	0.99	0.00122
ARL4A	0.99	-0.0038
ARL4C	0.366	-0.187
ARL4D	0.99	0.00631
ARL5A	0.79	-0.00538
ARL5B	0.614	-0.0509
ARL5C	0.187	-0.0584
ARL6	0.783	-0.00622
ARL6IP1	0.838	0.00958
ARL6IP4	0.99	-0.00228
ARL6IP5	0.99	-0.00597
ARL6IP6	0.99	-0.00403
ARL8A	0.99	-0.00123
ARL8B	0.99	-0.0188
ARL9	0.99	0.00926
ARMC1	0.99	-0.00276
ARMC10	0.99	0.0307
ARMC12	0.99	-0.0394
ARMC2	0.99	-0.0133
ARMC3	0.712	-0.00474
ARMC4	0.772	0.00811
ARMC5	0.0308	-0.0179
ARMC6	0.99	0.00946
ARMC7	0.89	-0.0103
ARMC8	0.99	0.00765
ARMC9	0.685	-0.0186
ARMS2	0.99	-0.0185
ARMT1	0.82	-0.00513
ARNT	0.632	-0.0364
ARNT2	0.612	-0.141
ARNTL	0.971	-0.0059
ARNTL2	0.551	0.0229
ARPC1A	0.675	-0.00542
ARPC1B	0.99	-0.0101
ARPC2	0.972	-0.0115
ARPC3	0.974	0.00919
ARPC4	0.99	0.00426
ARPC4-TTLL3	0.832	-0.0196
ARPC5	0.99	0.000728
ARPC5L	0.99	-0.00102
ARPP19	0.99	0.00741
ARPP21	0.0482	-0.144
ARRB1	0.588	-0.0735
ARRB2	0.715	-0.00999
ARRDC1	0.226	-0.0103
ARRDC1-AS1	0.99	0.00217
ARRDC2	0.374	-0.0721
ARRDC3	0.747	0.0425
ARRDC3-AS1	0.0338	-0.041
ARRDC4	0.564	-0.0139
ARRDC5	0.99	-0.00461
ARSA	0.99	0.0026
ARSB	0.94	-0.00889
ARSG	0.136	-0.0125
ARSI	0.981	0.062
ARSJ	4.50E-05	0.173
ARSK	0.99	0.00177
ART1	0.99	0.0107
ART3	0.99	-0.0261
ART4	0.99	-0.0106
ART5	0.99	-0.0115
ARTN	0.0559	0.0451
ARV1	0.663	-0.00599
ARVCF	0.754	-0.00597
ASAH1	0.855	-0.0326
ASAH2	0.99	-0.0167
ASAH2B	0.961	-0.0351
ASAP1	0.907	-0.0167
ASAP2	0.097	-0.0724
ASAP3	0.99	-0.0079
ASB1	0.99	0.00802
ASB10	0.188	-0.0357
ASB13	0.99	-0.0145
ASB14	0.99	-0.0264
ASB15	0.99	-0.0304
ASB16	0.861	-0.0245
ASB16-AS1	0.988	-0.00688
ASB17	0.99	-0.021
ASB18	0.5	-0.0287
ASB2	0.757	-0.0617
ASB3	0.0959	0.116
ASB4	0.99	-0.00906
ASB5	0.496	-0.0362
ASB6	0.158	-0.0374
ASB7	0.99	0.0169
ASB8	0.534	-0.00866
ASB9P1	0.99	0.0371
ASCC2	0.588	-0.0311
ASCC3	0.606	-0.00629
ASCL1	0.849	0.00657
ASCL2	0.792	-0.0336
ASCL3	0.99	-0.00425
ASCL4	0.535	-0.117
ASCL5	0.461	0.037
ASF1B	0.99	0.000686
ASGR1	0.0718	0.0914
ASGR2	0.99	0.0201
ASH1L	0.99	-0.0478
ASH1L-AS1	0.99	-0.0354
ASH2L	0.733	0.0101
ASIC1	0.99	-0.00196
ASIC2	0.925	0.0178
ASIC3	0.99	-0.0463
ASIC4	0.112	-0.0291
ASIC5	0.99	-0.0045
ASIP	0.99	0.0214
ASL	0.673	-0.0133
ASNA1	0.99	-0.0364
ASNS	0.99	0.00115
ASNSD1	0.99	-0.00663
ASPDH	0.00259	-0.065
ASPG	0.99	-0.0267
ASPH	0.99	-0.0283
ASPHD2	0.656	-0.00855
ASPM	0.561	-0.0318
ASPRV1	0.99	-0.00691
ASPSCR1	0.184	0.0489
ASRGL1	0.99	-0.016
ASS1	0.316	-0.0183
ASTE1	0.99	0.00191
ASTL	0.99	-0.0142
ASTN1	0.0301	-0.115
ASTN2	0.811	-0.0548
ASUN	0.99	0.00121
ASXL1	0.99	-0.00223
ASXL2	0.99	0.0142
ASXL3	0.99	0.003
ASZ1	0.856	-0.0603
ATAD1	0.99	-0.00408
ATAD2	0.796	-0.00404
ATAD2B	0.978	-0.0169
ATAD3A	0.509	-0.00558
ATAD3B	0.99	-0.0111
ATAD3C	0.99	0.0347
ATAD5	0.99	-0.0194
ATAT1	0.0461	0.0461
ATCAY	0.99	-0.0124
ATE1	0.147	-0.0549
ATF1	0.497	-0.0667
ATF2	0.99	-0.00364
ATF3	0.00875	0.107
ATF4	0.99	0.00305
ATF5	0.99	-0.015
ATF6	0.336	-0.00895
ATF6B	0.672	0.0227
ATF7	0.983	-0.00738
ATF7IP	0.747	0.104
ATF7IP2	0.945	0.0224
ATG10	0.000184	0.314
ATG101	0.478	-0.0603
ATG12	0.99	-0.00596
ATG13	0.99	-0.00192
ATG14	0.902	-0.0275
ATG16L1	0.961	0.0489
ATG16L2	0.0106	0.11
ATG2A	0.368	-0.00768
ATG2B	0.99	-0.00985
ATG3	0.99	-0.00102
ATG4B	0.755	0.0122
ATG4C	0.389	-0.0287
ATG4D	0.394	-0.0537
ATG5	0.426	-0.0287
ATG7	0.751	-0.00687
ATG9A	0.662	0.00512
ATG9B	0.99	0.00181
ATIC	0.99	0.0031
ATL1	0.32	0.0417
ATL2	0.512	0.0516
ATL3	0.99	-0.00187
ATM	0.99	0.00365
ATMIN	0.99	-0.0115
ATN1	0.0533	-0.0207
ATOH1	0.988	-0.0195
ATOH7	0.45	0.0307
ATOH8	0.92	-0.0104
ATOX1	0.99	-0.0376
ATP10A	0.272	-0.0127
ATP10B	0.99	-0.0379
ATP10D	0.381	-0.0446
ATP11A	0.0608	-0.155
ATP11AUN	0.698	-0.0621
ATP11B	0.985	-0.0155
ATP12A	0.99	-0.0161
ATP13A1	0.99	-0.00713
ATP13A2	0.916	-0.0907
ATP13A3	0.66	-0.0154
ATP13A4	0.99	-0.0223
ATP13A5	0.99	0.0135
ATP1A1	0.204	0.0379
ATP1A1-AS1	0.894	-0.0697
ATP1A2	0.985	-0.0793
ATP1A3	0.99	-0.00536
ATP1A4	0.99	-0.0235
ATP1B1	0.00511	-0.0631
ATP1B2	0.397	0.0297
ATP1B3	0.649	-0.00847
ATP23	0.987	0.0217
ATP2A1	0.642	-0.00587
ATP2A2	0.903	-0.00529
ATP2A3	0.99	-0.0129
ATP2B1	0.99	-0.0158
ATP2B2	0.00326	0.0746
ATP2B4	0.394	-0.00851
ATP2C1	0.639	-0.0381
ATP2C2	0.946	-0.096
ATP4A	0.974	-0.0364
ATP4B	0.99	0.0207
ATP5A1	0.99	-0.00189
ATP5B	0.463	-0.00767
ATP5C1	0.99	0.00327
ATP5D	0.134	-0.0287
ATP5EP2	0.788	-0.0166
ATP5F1	0.99	-0.00193
ATP5G1	0.639	-0.0079
ATP5G2	0.00696	-0.0496
ATP5G3	0.815	0.00571
ATP5I	0.838	-0.00873
ATP5J	0.99	-0.0112
ATP5J2-PTCD1	0.161	-0.00902
ATP5O	0.99	-0.000641
ATP5S	0.99	0.00234
ATP5SL	0.99	0.00149
ATP6AP1L	0.00259	-0.0834
ATP6V0A1	0.000358	-0.214
ATP6V0A2	0.573	-0.00625
ATP6V0A4	8.88E-05	0.0535
ATP6V0B	0.99	-0.0123
ATP6V0C	0.99	-0.00268
ATP6V0CP3	0.891	-0.0283
ATP6V0D1	0.99	-0.00609
ATP6V0D2	0.99	-0.0156
ATP6V0E1	0.95	-0.0887
ATP6V0E2	0.835	-0.0381
ATP6V0E2-AS1	0.99	-0.01
ATP6V1A	0.606	-0.0112
ATP6V1B1	0.99	-0.0291
ATP6V1B2	0.99	-0.00189
ATP6V1C1	0.824	-0.0569
ATP6V1C2	0.385	-0.0416
ATP6V1D	0.733	0.00741
ATP6V1E1	0.99	0.0255
ATP6V1E2	0.99	-0.0256
ATP6V1G1	0.99	0.0166
ATP6V1G2-DDX39B	0.668	-0.0282
ATP6V1G3	0.99	0.0372
ATP6V1H	0.543	-0.0336
ATP7B	0.794	-0.0055
ATP8A1	0.228	-0.115
ATP8A2	0.706	-0.0375
ATP8B1	0.965	-0.00368
ATP8B2	0.99	-0.005
ATP8B3	0.536	0.0495
ATP8B4	0.99	0.0196
ATP8B5P	0.525	0.0364
ATP9A	0.0401	-0.138
ATP9B	0.99	-0.0057
ATPAF1	0.99	0.00485
ATPAF2	0.99	-0.00325
ATPIF1	0.682	-0.021
ATR	0.99	-0.00459
ATRAID	0.955	-0.0104
ATRIP	0.964	-0.0362
ATRN	0.99	-0.00299
ATRNL1	0.845	0.0404
ATXN1	0.000836	0.108
ATXN10	0.644	-0.0283
ATXN1L	0.99	0.00268
ATXN2	0.99	0.0114
ATXN2L	0.429	-0.00696
ATXN3	0.99	0.00133
ATXN7	0.99	0.0101
ATXN7L1	0.461	-0.0632
ATXN7L2	0.99	-0.00272
ATXN7L3	0.927	-0.00676
ATXN7L3B	0.99	0.000395
ATXN8OS	0.99	-0.0164
AUH	0.661	-0.0734
AUNIP	0.99	-0.0037
AUP1	0.941	-0.00495
AURKA	0.99	-0.00495
AURKAIP1	0.773	-0.00961
AURKB	0.739	-0.0104
AURKC	0.141	-0.0477
AUTS2	0.0771	0.101
AVEN	0.894	-0.0073
AVIL	0.99	-0.0137
AVL9	0.0029	0.0261
AVP	0.097	-0.0768
AVPI1	0.864	-0.00553
AVPR1A	0.118	-0.0374
AVPR1B	0.853	-0.0111
AXDND1	0.45	-0.0436
AXIN1	0.99	-0.0184
AXIN2	0.405	-0.0329
AXL	0.159	0.0814
AZGP1	0.99	-0.0158
AZGP1P1	0.99	-0.0232
AZI2	0.99	-0.00774
AZIN1	0.207	-0.0466
AZIN2	0.232	0.0395
AZU1	0.99	-0.00457
B2M	0.99	0.00103
B3GALNT1	0.442	-0.0108
B3GALNT2	0.99	0.00123
B3GALT1	0.921	-0.0131
B3GALT4	0.276	-0.0391
B3GALT5	0.99	0.00632
B3GALT6	0.99	-0.0375
B3GAT1	0.99	-0.00705
B3GAT2	0.771	-0.00579
B3GAT3	0.817	-0.00493
B3GLCT	0.333	-0.0607
B3GNT2	0.403	-0.0655
B3GNT3	0.99	-0.0097
B3GNT4	0.604	0.0189
B3GNT6	0.99	0.0203
B3GNT7	0.0993	-0.0579
B3GNT8	0.99	0.00308
B3GNT9	0.923	0.0345
B3GNTL1	0.00296	-0.0943
B4GALNT1	0.0155	-0.0638
B4GALNT2	0.682	-0.00791
B4GALNT3	0.782	-0.0411
B4GALNT4	0.0939	-0.0869
B4GALT1	0.796	0.00984
B4GALT2	0.99	-0.0047
B4GALT4	0.013	-0.127
B4GALT5	0.675	-0.0957
B4GALT6	0.99	-0.00866
B4GALT7	0.314	-0.0533
B4GAT1	0.99	-0.00577
B9D1	0.394	-0.0299
BAALC	0.99	-0.0218
BAALC-AS1	0.99	0.00376
BAALC-AS2	0.0665	-0.0472
BAAT	0.99	0.0122
BABAM1	0.272	-0.0785
BACE1	0.872	-0.0064
BACE2	0.99	-0.000821
BACH1	0.882	-0.00538
BACH2	0.787	-0.0147
BAD	0.976	-0.0206
BAG1	0.99	-0.00544
BAG2	0.983	-0.00519
BAG3	0.99	0.0115
BAG4	0.853	-0.00628
BAG5	0.601	-0.00533
BAG6	0.922	-0.00794
BAGE	0.99	-0.0364
BAGE3	0.99	-0.0382
BAHCC1	0.124	-0.104
BAHD1	0.106	0.0489
BAIAP2	0.463	-0.0274
BAIAP2-AS1	0.979	0.0037
BAIAP2L1	0.326	0.0124
BAIAP2L2	0.99	0.00162
BAIAP3	0.428	-0.0152
BAK1	0.99	-0.00452
BAMBI	0.172	0.0278
BANCR	0.991	0.00319
BANF1	0.99	-0.00229
BANF2	0.99	-0.0209
BANK1	0.99	0.00313
BANP	0.0455	-0.0454
BAP1	0.958	-0.0193
BARD1	0.492	-0.00916
BARHL1	0.0939	-0.0411
BARHL2	0.061	0.0337
BARX1	0.0335	0.0544
BARX2	0.596	-0.0316
BASP1	0.99	-0.0342
BASP1P1	0.42	-0.0102
BATF	0.164	-0.0583
BATF2	0.99	-0.0123
BATF3	0.967	-0.0172
BAX	0.99	0.00344
BAZ1A	0.362	0.0318
BAZ1B	0.564	-0.0421
BAZ2A	0.927	-0.0115
BAZ2B	0.85	-0.0655
BBC3	0.703	-0.00775
BBIP1	0.99	-0.0321
BBOF1	0.99	-0.0369
BBOX1	0.99	-0.00755
BBS1	0.267	-0.0588
BBS10	0.00711	-0.0472
BBS12	0.99	0.002
BBS2	4.75E-06	0.0621
BBS4	0.99	-0.0017
BBS7	0.682	0.0339
BBS9	0.793	-0.0091
BBX	0.99	-0.0171
BCAM	0.132	0.0309
BCAN	0.711	-0.0216
BCAP29	0.938	-0.0467
BCAR1	0.0805	0.077
BCAR3	0.82	-0.00626
BCAR4	0.99	0.00682
BCAS1	0.99	-0.00867
BCAS3	0.237	0.0428
BCAS4	0.934	-0.0506
BCAT1	0.84	0.00535
BCAT2	0.99	-0.00285
BCCIP	0.831	-0.00543
BCDIN3D	0.725	-0.0165
BCDIN3D-AS1	0.99	-0.00609
BCHE	0.0617	0.109
BCKDHA	0.99	-0.0029
BCKDHB	0.913	-0.0804
BCKDK	0.99	-0.0061
BCL10	0.99	-0.025
BCL11A	0.108	0.0448
BCL11B	0.78	0.0611
BCL2	0.88	0.0576
BCL2A1	0.99	-0.0103
BCL2L1	0.564	0.0151
BCL2L10	0.46	-0.0722
BCL2L11	0.0922	-0.12
BCL2L12	0.824	-0.00479
BCL2L13	0.99	0.0016
BCL2L14	0.99	-0.00971
BCL2L2-PABPN1	0.99	-0.00385
BCL3	0.00381	-0.0782
BCL6	0.829	-0.00488
BCL6B	0.99	0.0247
BCL7A	0.0535	-0.0628
BCL7B	0.99	-0.0169
BCL7C	0.32	-0.0105
BCL9	0.00875	-0.275
BCL9L	0.503	-0.0446
BCLAF1	0.976	-0.00561
BCO1	0.99	-0.0281
BCO2	0.99	-0.0444
BCR	0.891	-0.0255
BCRP2	0.382	-0.0647
BCRP3	0.99	0.0251
BCS1L	0.99	-0.000932
BDH1	0.987	-0.0639
BDH2	0.942	0.0258
BDKRB1	0.99	-0.0205
BDKRB2	0.712	-0.0303
BDNF	0.177	-0.0304
BDNF-AS	0.99	-0.0113
BDP1	0.99	-0.0319
BEAN1	0.99	-0.0121
BECN1	0.99	0.0264
BEGAIN	0.00431	0.0628
BEND3	0.99	-0.00195
BEND3P3	0.99	-0.00937
BEND4	0.83	-0.00911
BEND6	0.539	-0.0103
BEND7	7.58E-05	-0.0995
BEST1	0.465	-0.052
BEST2	0.205	0.0474
BEST3	0.99	0.00888
BEST4	0.797	-0.00613
BET1	0.99	-0.0306
BET1L	0.99	-0.000889
BFAR	0.449	-0.00665
BFSP1	0.417	0.0496
BFSP2	0.99	-0.028
BHLHA15	0.99	-0.0184
BHLHA9	0.504	-0.0322
BHLHE22	0.0549	0.0357
BHLHE23	0.99	0.00468
BHLHE40	0.977	0.0547
BHLHE40-AS1	0.411	-0.00706
BHLHE41	0.9	-0.00904
BHMT	0.571	0.0111
BHMT2	0.99	-0.0238
BICC1	0.00722	-0.211
BICD1	0.374	0.0516
BICD2	0.99	-0.005
BICDL1	0.000167	-0.0745
BICDL2	0.226	-0.106
BID	0.99	-0.00518
BIK	0.473	0.0546
BIN1	0.23	-0.0363
BIN2	0.308	-0.0113
BIN3	0.912	-0.00649
BIRC2	0.439	0.075
BIRC3	0.99	0.057
BIRC5	0.592	-0.00439
BIRC6	0.104	-0.105
BIRC7	0.99	-0.0184
BIRC8	0.336	-0.0458
BIVM	0.888	-0.00693
BIVM-ERCC5	0.99	-0.0146
BLCAP	0.000345	0.102
BLK	0.99	0.00367
BLM	0.99	-0.00213
BLMH	0.99	-0.00133
BLNK	0.99	-0.0112
BLOC1S1-RDH5	0.895	-0.0199
BLOC1S2	0.366	-0.0548
BLOC1S3	0.99	0.00295
BLOC1S4	0.99	0.0121
BLOC1S5-TXNDC5	0.853	-0.00608
BLOC1S6	0.959	-0.00518
BLVRA	0.874	-0.0365
BLVRB	0.99	-0.000638
BLZF1	0.254	-0.069
BMF	0.99	-0.000782
BMP1	0.99	-0.018
BMP10	0.99	-0.0144
BMP2	0.169	0.0383
BMP2K	0.99	0.0161
BMP3	0.933	-0.008
BMP4	0.000887	0.0189
BMP5	0.99	-0.0255
BMP6	0.01	0.0771
BMP7	0.734	-0.0211
BMP8A	0.314	-0.0373
BMP8B	0.0751	-0.0413
BMPER	0.99	-0.0134
BMPR1A	0.508	0.0173
BMPR1B	0.99	-0.0166
BMPR2	0.99	0.00376
BMS1	0.149	-0.0548
BMS1P17	0.51	-0.0327
BMS1P18	0.529	-0.0701
BMS1P20	0.213	0.0291
BMS1P21	0.99	0.0118
BMS1P6	0.708	-0.0462
BMT2	0.99	-0.00562
BNC1	0.191	0.0187
BNC2	0.301	0.0368
BNIP1	0.523	-0.00757
BNIP2	0.99	-0.00439
BNIP3	0.112	-0.136
BNIP3L	0.917	-0.00741
BNIPL	0.99	0.00408
BOC	0.00053	0.0476
BOD1	0.83	0.0124
BOD1L1	0.99	0.00287
BOD1L2	0.937	-0.00672
BOK	0.99	-0.0304
BOK-AS1	0.463	0.0202
BOLA1	0.337	-0.0277
BOLA2	0.00125	-0.0807
BOLA3	0.99	0.0076
BOLA3-AS1	0.99	-0.00158
BOLL	0.554	-0.0405
BOP1	0.182	0.0587
BORA	0.153	0.0124
BORCS5	0.877	-0.00595
BORCS6	0.815	-0.016
BORCS7-ASMT	0.815	0.0526
BORCS8-MEF2B	0.99	-0.0126
BPESC1	0.99	0.0146
BPGM	0.228	-0.0518
BPHL	0.99	-0.0233
BPI	0.449	-0.0159
BPIFA1	0.99	-0.0183
BPIFA2	0.99	-0.0228
BPIFA3	0.99	-0.0268
BPIFA4P	0.914	-0.0479
BPIFB1	0.99	-0.0188
BPIFB2	0.99	-0.0317
BPIFB3	0.99	-0.0135
BPIFB4	0.99	-0.026
BPIFB6	0.99	-0.0136
BPIFC	0.99	-0.0277
BPTF	0.658	-0.00582
BRAF	0.499	-0.0329
BRAP	0.99	0.00122
BRAT1	0.99	0.0121
BRCA1	0.144	-0.0102
BRCA2	0.99	0.000851
BRD1	0.259	0.0158
BRD2	0.226	-0.00776
BRD3	0.735	0.0114
BRD4	0.99	-0.00232
BRD7	0.99	-0.00527
BRD8	0.829	-0.0513
BRD9	0.56	-0.00683
BRDT	0.99	-0.012
BRE	0.99	-0.00438
BRE-AS1	0.99	-0.00212
BRF1	0.0153	-0.0572
BRF2	0.359	-0.0975
BRI3	0.99	-0.046
BRI3BP	0.864	0.0622
BRICD5	0.99	-0.0069
BRINP1	0.165	-0.0535
BRINP2	0.99	-0.0173
BRINP3	0.99	-0.0274
BRIP1	0.99	-0.00136
BRIX1	0.99	-0.00246
BRK1	0.99	-0.00813
BRMS1	0.99	-0.00735
BRMS1L	0.852	-0.00791
BROX	0.99	-0.00117
BRPF1	0.99	0.00646
BRPF3	0.963	-0.0331
BRSK1	0.99	-0.00356
BRSK2	0.00565	-0.0674
BRWD1	0.99	0.00141
BRWD1-AS1	0.99	-0.0269
BSDC1	0.889	-0.0727
BSG	0.174	0.0108
BSN	0.0385	-0.0957
BSN-AS2	0.83	-0.00489
BSND	0.229	0.0291
BSPH1	0.99	0.0145
BSPRY	0.99	0.00185
BST1	0.99	0.00193
BST2	0.858	0.0285
BSX	0.718	-0.0264
BTAF1	0.488	0.0322
BTBD1	0.99	-7.00E-04
BTBD10	0.862	-0.00705
BTBD11	0.0887	0.094
BTBD16	0.246	-0.0239
BTBD17	0.112	0.0371
BTBD19	0.0437	0.0482
BTBD2	0.0204	-0.0205
BTBD3	0.913	-0.0439
BTBD7	0.83	-0.0556
BTBD8	0.923	-0.0346
BTBD9	0.621	-0.00507
BTC	0.324	-0.0162
BTD	0.792	0.035
BTF3	0.477	-0.0613
BTF3L4	0.953	0.0584
BTF3P11	0.99	-0.0215
BTG1	0.99	-0.00594
BTG2	0.609	-0.0108
BTG3	0.99	-0.00195
BTG4	0.854	0.0267
BTLA	0.99	-0.0236
BTN1A1	0.99	0.011
BTN2A1	0.669	-0.0101
BTN2A2	0.99	-0.0107
BTN2A3P	0.786	-0.00615
BTN3A1	0.99	0.00161
BTN3A2	0.412	-0.0256
BTN3A3	0.0148	-0.0877
BTNL2	0.84	0.0247
BTNL3	0.79	-0.15
BTNL8	0.374	0.24
BTNL9	0.327	-0.0336
BTRC	0.0874	-0.0415
BUB1	0.99	0.0078
BUB1B	0.752	-0.0048
BUB3	0.0968	0.0489
BUD13	0.56	-0.0793
BUD31	0.99	-0.0244
BVES	0.99	-0.00351
BVES-AS1	0.55	0.0121
BYSL	0.56	-0.00548
BZW1	0.967	0.0638
BZW2	0.9	-0.00512
C10orf107	0.706	0.0224
C10orf11	0.595	-0.133
C10orf111	0.0154	-0.0674
C10orf12	0.99	-0.0305
C10orf120	0.512	0.0602
C10orf128	0.99	-0.00224
C10orf142	0.0338	0.0776
C10orf2	0.99	0.00502
C10orf25	0.99	-0.0215
C10orf35	0.289	-0.037
C10orf53	0.99	-0.0364
C10orf55	0.303	-0.00878
C10orf67	0.99	-0.00129
C10orf71	0.99	0.0415
C10orf76	0.99	-0.0151
C10orf82	0.565	0.0492
C10orf88	0.595	-0.0404
C10orf90	0.224	-0.0681
C10orf91	0.0152	-0.0457
C10orf99	0.99	-0.0175
C11orf1	0.0666	-0.0575
C11orf16	0.99	-0.016
C11orf21	0.99	-0.0154
C11orf24	0.99	-0.00514
C11orf40	0.962	0.0742
C11orf42	0.99	-0.0127
C11orf44	0.99	-0.0178
C11orf49	0.942	-0.00799
C11orf53	0.00437	-0.0935
C11orf54	0.747	0.0174
C11orf57	0.99	-0.0026
C11orf58	0.99	-0.0236
C11orf63	0.849	-0.0344
C11orf65	0.245	-0.016
C11orf68	0.99	-0.00601
C11orf70	0.0418	-0.0373
C11orf71	0.99	-0.0245
C11orf74	0.99	-0.0245
C11orf80	0.808	-0.00682
C11orf84	0.99	0.00484
C11orf86	0.917	-0.0764
C11orf87	0.337	0.0227
C11orf88	0.685	-0.0383
C11orf91	0.884	-0.00634
C11orf94	0.99	-0.00304
C11orf95	0.99	-0.00271
C11orf96	0.217	0.068
C11orf97	0.99	-0.0405
C12orf10	0.72	-0.0139
C12orf29	0.0724	-0.0464
C12orf4	0.99	0.00329
C12orf40	0.99	-0.0087
C12orf42	0.99	-0.00155
C12orf43	0.91	0.0254
C12orf45	0.533	-0.00748
C12orf49	0.99	-0.0577
C12orf50	0.99	-0.0154
C12orf54	0.99	-0.0145
C12orf56	0.556	-0.0377
C12orf57	0.99	-0.00228
C12orf60	0.99	-0.00431
C12orf65	0.99	-0.0028
C12orf66	0.99	-0.00284
C12orf71	0.99	-0.0246
C12orf73	0.483	-0.0115
C12orf74	0.99	-0.0451
C12orf75	0.165	-0.139
C12orf76	0.99	0.00677
C12orf77	0.99	-0.0813
C12orf80	0.99	0.0194
C14orf1	0.99	-0.00525
C14orf105	0.934	0.0422
C14orf119	0.99	-0.00219
C14orf132	0.99	-0.0089
C14orf159	0.256	-0.108
C14orf166	0.967	-0.0271
C14orf177	0.99	-0.0148
C14orf178	0.708	-0.019
C14orf180	0.0411	-0.0784
C14orf2	0.891	-0.0386
C14orf28	0.897	-0.00819
C14orf37	0.0675	-0.0202
C14orf39	0.99	-0.00148
C14orf79	0.494	-0.00882
C14orf80	0.691	-0.039
C14orf93	0.0212	-0.0437
C15orf32	0.99	0.00518
C15orf38-AP3S2	0.927	-0.00341
C15orf39	0.33	-0.00613
C15orf40	0.67	-0.0365
C15orf41	0.504	-0.0352
C15orf48	0.701	-0.00464
C15orf52	0.0114	0.0439
C15orf53	0.99	-0.0147
C15orf54	0.99	-0.0141
C15orf57	0.902	-0.0415
C15orf59	0.238	0.0494
C15orf61	0.99	-0.00364
C16orf45	0.797	0.0909
